Username,rawTweet,hashtags,mentions,fromUser
MANINVISIBLE19,"@RafaelCarrerra @BArevalodeLeon Vos lo que queres es que el estado te siga manteniendo HDP, huevón y corrupto de mierda!!!",,"RafaelCarrerra, BArevalodeLeon",
Billyarmando,"@XelaNewsGt Idiay @BArevalodeLeon  coyolón,  no que el pueblo te ama.  Ahora estás viendo la realidad,  llegaste por fraude y has caído más rápido que cualquier otro, pero eso sucede cuando se es ilegítimo e incapaz en el puesto.",,"XelaNewsGt, BArevalodeLeon",
yamilsa71,@BArevalodeLeon Que le parece si hacemos una película en nombre de su Padre contando la historia desde su voz me comenta si está deacuerdo y le contacto un buen quionista,,BArevalodeLeon,
elotroikar,"@Radio_TGW @ProvialOficial @CIV_Guatemala YO CREO QUE ESO ASÍ SE VA A QUEDAR, AYER PASE Y NO HAY GENTE TRABAJANDO. @FelixSinExcusas  @CIV_Guatemala @BArevalodeLeon",,"Radio_TGW, ProvialOficial, CIV_Guatemala, FelixSinExcusas, CIV_Guatemala, BArevalodeLeon",
JustinMendo,@FJimenezmingob @mingobguate @_SPGuatemala @DTransitoPNC @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob @BArevalodeLeon Ya es momento que la diputada jovel (en minúsculas) deponga la interpelación… la soledad para ella le está llegando a la velocidad de la luz!!!,,"FJimenezmingob, mingobguate, _SPGuatemala, DTransitoPNC, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob, BArevalodeLeon",
pups_pup,Y aún así no se ve ninguna propuesta o acción concreta de @GuatemalaGob @BArevalodeLeon para la desnutrición crónica infantil,,"GuatemalaGob, BArevalodeLeon",OurWorldInData
OurWorldInData,"Half of all child deaths are linked to malnutrition.

Improving the nutrition of mothers and children could save many lives at a relatively low cost.

Read the new article from @_HannahRitchie:

→ https://t.co/m5jBxyWNC4 https://t.co/ZfBslvK996",,_HannahRitchie,
anti_chairosgt,@BenitoC67601310 @ElQueNews @GuatemalaGob @BArevalodeLeon No seas hueco vos pedazo de mierda,,"BenitoC67601310, ElQueNews, GuatemalaGob, BArevalodeLeon",
manuelcevans,"@GuatemalaGob @BArevalodeLeon @MagaGuatemala @MaynorEstradaGT Le encanta el show al impresentable, no existe nada gratis y mas viniendo del gobierno, todo ese clientelismo se paga con nuestros impuestos.
Cuantos miles costó cada bolsa?",,"GuatemalaGob, BArevalodeLeon, MagaGuatemala, MaynorEstradaGT",
vozdeltuit,"Ya no da tiempo. El Presidente del @OJGuatemala y CSJ Magistrado Oscar Cruz , afirmó  que los antejuicios contra el Presidente @BArevalodeLeon , aún siguen su curso. Por lo que ya no será esta CSJ la que los conozca. Vea la entrevista en el Canal de Youtube de @CanalAntigua https://t.co/7Jn8PAcjoj",,"OJGuatemala, BArevalodeLeon, CanalAntigua",
joshxb4,@SW_JRH96 @VicGarciaDice @BArevalodeLeon Pero si tenes rojo el hoyo?,,"SW_JRH96, VicGarciaDice, BArevalodeLeon",
hammer105,@IvanDuque @BArevalodeLeon https://t.co/ZwqG7qIw7l,,"IvanDuque, BArevalodeLeon",
giovarodrig78,@IvanDuque @BArevalodeLeon 🤣😂😂 ojo mijo no y sea me imagino que sumerce como narcoderecha esta buscando rutas por allá … @IvanDuque  ! https://t.co/bPE8a7pEJ2,,"IvanDuque, BArevalodeLeon, IvanDuque",
mauriciogua,"@BArevalodeLeon ¡Arévalo vive! 
¡Viva Arévalo!
💪👍🙏🇬🇹💙🤍💙🇬🇹🙏👍💪",,BArevalodeLeon,
SINERGIABIKES,@IvanDuque @BArevalodeLeon Vendale rolex..,,"IvanDuque, BArevalodeLeon",
marielp82893334,"@gobernaciongt Estará ya redactando el ""flamante"" gobernadorcito @diegoedeleon un comunicado repudiando esta ""injusticia""❓️

Imbécil. 

Destitución @BArevalodeLeon ‼️ https://t.co/RTqSGELA9y",,"gobernaciongt, diegoedeleon, BArevalodeLeon",PrensaComunitar
PrensaComunitar,"🚨 #Ahora 🚨 Condenan a Erwin Sperisen por ejecuciones extrajudiciales 

Medios internacionales informan que el exdirector de la PNC, Erwin Sperisen, fue nuevamente condenado a 14 años de cárcel  por las ejecuciones extrajudiciales de 7 reos en 2006.

📸 Redes sociales de E. Sperisen",Ahora,,
rmojicav,"@IvanDuque @BArevalodeLeon Excelente presidente, ese papel de presidente le queda como grande, igual que le quedó cuando pasó por la casa de Nariño, ahora si juega a ser presidente y a hacer algo bien, 👍🏿",,"IvanDuque, BArevalodeLeon",
ChepioMonroy,"@__VaderTG @BArevalodeLeon @USAIDGuate @CongresoGuate Porque en los gobiernos anteriores no pudieron comprar y es donación, pendejo",,"__VaderTG, BArevalodeLeon, USAIDGuate, CongresoGuate",
