Username,rawTweet,hashtags,mentions,fromUser,clean_tweet,emojis_str,emoji_count
AuraRod18533431,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Yo netcentero el quetzal digo mentiras  por eso  me esta creciendo la naris 🤣🤣🤣 https://t.co/yOUNfXtYj2,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",,elquenews bancadasemilla barevalodeleon netcentero quetzal digo mentiras creciendo naris,🤣 🤣 🤣,3
BenitoC67601310,"DESINFORMACION... Ayer fueron entregadas 9,637 raciones, en las poblaciones más vulnerables... Y hasta yes máster, estaba molesto con la entrega, por que no le pudo meter mano al dinero de dichas raciones... GRACIAS @BArevalodeLeon por esa ayuda.",,BArevalodeLeon,ElQueNews,desinformacion ayer entregadas raciones poblaciones vulnerables yes máster molesto entrega pudo meter mano dinero dichas raciones gracias barevalodeleon ayuda,,0
ElQueNews,"#URGENTE El gobierno de Bernardo Arévalo pierde credibilidad, lleva 10 raciones de alimentos a Santa Maria Nebaj para tomarse las fotos únicamente.
Semilla es incapacidad y corrupción.
#traficoGT
#GuatemalaDespierta
#GuatemalaSaleAdelante SIN GOBIERNO https://t.co/duUQEWkjC9","URGENTE, traficoGT, GuatemalaDespierta, GuatemalaSaleAdelante",,,urgente gobierno bernardo arévalo pierde credibilidad lleva raciones alimentos santa maria nebaj tomarse fotos únicamente semilla incapacidad corrupción traficogt guatemaladespierta guatemalasaleadelante gobierno,,0
Un_tal_Puyol,@IvanDuque @BArevalodeLeon https://t.co/PrgEUwJPxh,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon,,0
BenitoC67601310,"@ElQueNews DESINFORMACION... Ayer fueron entregadas 9,637 raciones, en las poblaciones más vulnerables... Y hasta yes máster, estaba molesto con la entrega, por que no le pudo meter mano al dinero de dichas raciones... GRACIAS @BArevalodeLeon por esa ayuda. https://t.co/5NzlznTGmq",,"ElQueNews, BArevalodeLeon",,elquenews desinformacion ayer entregadas raciones poblaciones vulnerables yes máster molesto entrega pudo meter mano dinero dichas raciones gracias barevalodeleon ayuda,,0
Taga07_,@BArevalodeLeon No le llega años tobillos,,BArevalodeLeon,,barevalodeleon llega años tobillos,,0
Pablvito,@BenitoC67601310 @BArevalodeLeon El net de semilla haciendo la cuota del día,,"BenitoC67601310, BArevalodeLeon",,barevalodeleon net semilla haciendo cuota día,,0
BenitoC67601310,@anti_chairosgt @ElQueNews @GuatemalaGob @BArevalodeLeon Desde muy temprano me querés poner el weco.,,"anti_chairosgt, ElQueNews, GuatemalaGob, BArevalodeLeon",,anti chairosgt elquenews guatemalagob barevalodeleon temprano querés poner weco,,0
Pablvito,"#URGENTE  Última hora!!! Ayer en su visita a quiche pobladores confrontan al Presidente Bernardo Arévalo en beneficiar con Bolsas solidarias de alimentos a grupos en específico y dejar a fuera a los más necesitados, 🚨

Asi es la primavera!!!! https://t.co/aQMeO5oaBl",URGENTE,,,urgente última hora ayer visita quiche pobladores confrontan presidente bernardo arévalo beneficiar bolsas solidarias alimentos grupos específico dejar necesitados asi primavera,🚨,1
BenitoC67601310,"@Pablvito DESINFORMACION... Ayer fueron entregadas 9,637 raciones, en las poblaciones más vulnerables... Y hasta yes máster, estaba molesto con la entrega, por que no le pudo meter mano al dinero de dichas raciones... GRACIAS @BArevalodeLeon por esa ayuda. https://t.co/ljX0SdvOSR",,"Pablvito, BArevalodeLeon",,pablvito desinformacion ayer entregadas raciones poblaciones vulnerables yes máster molesto entrega pudo meter mano dinero dichas raciones gracias barevalodeleon ayuda,,0
